Suceessfully loaded the All setting and Log file.
MyResNet32_128_SGD_MultiStepLR_myresnet
1 epoch: train_loss=2.3760, train_acc=0.1281, test_loss=2.0872, test_acc=0.2151, lr=0.1000
2 epoch: train_loss=1.6318, train_acc=0.3814, test_loss=1.7507, test_acc=0.4030, lr=0.1000
3 epoch: train_loss=1.1134, train_acc=0.5972, test_loss=1.1715, test_acc=0.5849, lr=0.1000
4 epoch: train_loss=0.8430, train_acc=0.7043, test_loss=0.7878, test_acc=0.7261, lr=0.1000
5 epoch: train_loss=0.6783, train_acc=0.7629, test_loss=0.7883, test_acc=0.7289, lr=0.1000
6 epoch: train_loss=0.5760, train_acc=0.7991, test_loss=0.7993, test_acc=0.7246, lr=0.1000
7 epoch: train_loss=0.4994, train_acc=0.8257, test_loss=0.7950, test_acc=0.7309, lr=0.1000
8 epoch: train_loss=0.4413, train_acc=0.8478, test_loss=0.6367, test_acc=0.7870, lr=0.1000
9 epoch: train_loss=0.3917, train_acc=0.8627, test_loss=0.7243, test_acc=0.7697, lr=0.1000
10 epoch: train_loss=0.3549, train_acc=0.8756, test_loss=0.7393, test_acc=0.7654, lr=0.1000
11 epoch: train_loss=0.3153, train_acc=0.8883, test_loss=0.6865, test_acc=0.7848, lr=0.1000
12 epoch: train_loss=0.2851, train_acc=0.9000, test_loss=1.2265, test_acc=0.6894, lr=0.1000
13 epoch: train_loss=0.2588, train_acc=0.9081, test_loss=0.6213, test_acc=0.8045, lr=0.1000
14 epoch: train_loss=0.2314, train_acc=0.9179, test_loss=0.7155, test_acc=0.7864, lr=0.1000
15 epoch: train_loss=0.2208, train_acc=0.9211, test_loss=0.7761, test_acc=0.7906, lr=0.1000
16 epoch: train_loss=0.2037, train_acc=0.9271, test_loss=1.0881, test_acc=0.7223, lr=0.1000
17 epoch: train_loss=0.1826, train_acc=0.9364, test_loss=0.6559, test_acc=0.8082, lr=0.1000
18 epoch: train_loss=0.1582, train_acc=0.9440, test_loss=0.7476, test_acc=0.7979, lr=0.1000
19 epoch: train_loss=0.1519, train_acc=0.9455, test_loss=1.0200, test_acc=0.7405, lr=0.1000
20 epoch: train_loss=0.1561, train_acc=0.9444, test_loss=0.8003, test_acc=0.7977, lr=0.1000
21 epoch: train_loss=0.1390, train_acc=0.9514, test_loss=0.7329, test_acc=0.8092, lr=0.1000
22 epoch: train_loss=0.1300, train_acc=0.9541, test_loss=0.7723, test_acc=0.8046, lr=0.1000
23 epoch: train_loss=0.1281, train_acc=0.9540, test_loss=0.7725, test_acc=0.8068, lr=0.1000
24 epoch: train_loss=0.1128, train_acc=0.9608, test_loss=0.7382, test_acc=0.8108, lr=0.1000
25 epoch: train_loss=0.1140, train_acc=0.9599, test_loss=1.0242, test_acc=0.7658, lr=0.1000
26 epoch: train_loss=0.1075, train_acc=0.9616, test_loss=0.8212, test_acc=0.7968, lr=0.1000
27 epoch: train_loss=0.1145, train_acc=0.9594, test_loss=0.9545, test_acc=0.7702, lr=0.1000
28 epoch: train_loss=0.1132, train_acc=0.9600, test_loss=0.7638, test_acc=0.8095, lr=0.1000
29 epoch: train_loss=0.1011, train_acc=0.9645, test_loss=0.9557, test_acc=0.7834, lr=0.1000
30 epoch: train_loss=0.0975, train_acc=0.9655, test_loss=0.9381, test_acc=0.7898, lr=0.1000
31 epoch: train_loss=0.0949, train_acc=0.9672, test_loss=1.0046, test_acc=0.7678, lr=0.1000
32 epoch: train_loss=0.0946, train_acc=0.9666, test_loss=0.9327, test_acc=0.7895, lr=0.1000
33 epoch: train_loss=0.1008, train_acc=0.9646, test_loss=0.9319, test_acc=0.7852, lr=0.1000
34 epoch: train_loss=0.0936, train_acc=0.9674, test_loss=1.0047, test_acc=0.7850, lr=0.1000
