Epoch 0 | Train Loss : 2.0914 | Train Accuracy : 25.41% | Test Loss : 1.6727 | Test Accuracy : 38.35%
Epoch 1 | Train Loss : 1.5452 | Train Accuracy : 42.86% | Test Loss : 1.4881 | Test Accuracy : 46.84%
Epoch 2 | Train Loss : 1.2816 | Train Accuracy : 53.48% | Test Loss : 1.3039 | Test Accuracy : 53.90%
Epoch 3 | Train Loss : 1.0272 | Train Accuracy : 63.15% | Test Loss : 1.0294 | Test Accuracy : 64.86%
Epoch 4 | Train Loss : 0.8493 | Train Accuracy : 70.14% | Test Loss : 0.8120 | Test Accuracy : 71.92%
Epoch 5 | Train Loss : 0.7364 | Train Accuracy : 74.35% | Test Loss : 0.7894 | Test Accuracy : 73.16%
Epoch 6 | Train Loss : 0.6594 | Train Accuracy : 77.34% | Test Loss : 0.7889 | Test Accuracy : 74.47%
Epoch 7 | Train Loss : 0.6106 | Train Accuracy : 78.93% | Test Loss : 0.6121 | Test Accuracy : 79.15%
Epoch 8 | Train Loss : 0.5661 | Train Accuracy : 80.47% | Test Loss : 0.6296 | Test Accuracy : 79.06%
Epoch 9 | Train Loss : 0.5290 | Train Accuracy : 81.82% | Test Loss : 0.6299 | Test Accuracy : 78.89%
Epoch 10 | Train Loss : 0.5021 | Train Accuracy : 82.70% | Test Loss : 0.8017 | Test Accuracy : 74.01%
Epoch 11 | Train Loss : 0.4745 | Train Accuracy : 83.62% | Test Loss : 0.6224 | Test Accuracy : 79.52%
Epoch 12 | Train Loss : 0.4524 | Train Accuracy : 84.34% | Test Loss : 0.6327 | Test Accuracy : 79.35%
Epoch 13 | Train Loss : 0.4365 | Train Accuracy : 84.92% | Test Loss : 0.5726 | Test Accuracy : 80.94%
Epoch 14 | Train Loss : 0.4196 | Train Accuracy : 85.52% | Test Loss : 0.5416 | Test Accuracy : 82.42%
Epoch 15 | Train Loss : 0.4075 | Train Accuracy : 86.00% | Test Loss : 0.5136 | Test Accuracy : 83.39%
Epoch 16 | Train Loss : 0.3921 | Train Accuracy : 86.27% | Test Loss : 0.6406 | Test Accuracy : 79.81%
Epoch 17 | Train Loss : 0.3837 | Train Accuracy : 86.71% | Test Loss : 0.6948 | Test Accuracy : 77.19%
Epoch 18 | Train Loss : 0.3690 | Train Accuracy : 87.12% | Test Loss : 0.5233 | Test Accuracy : 82.97%
Epoch 19 | Train Loss : 0.3628 | Train Accuracy : 87.45% | Test Loss : 0.5408 | Test Accuracy : 82.53%
Epoch 20 | Train Loss : 0.3488 | Train Accuracy : 87.98% | Test Loss : 0.4536 | Test Accuracy : 85.01%
Epoch 21 | Train Loss : 0.3397 | Train Accuracy : 88.10% | Test Loss : 0.6028 | Test Accuracy : 81.35%
Epoch 22 | Train Loss : 0.3360 | Train Accuracy : 88.29% | Test Loss : 0.5361 | Test Accuracy : 83.34%
Epoch 23 | Train Loss : 0.3260 | Train Accuracy : 88.63% | Test Loss : 0.5280 | Test Accuracy : 83.75%
Epoch 24 | Train Loss : 0.3211 | Train Accuracy : 88.95% | Test Loss : 0.4145 | Test Accuracy : 86.35%
Epoch 25 | Train Loss : 0.3129 | Train Accuracy : 89.03% | Test Loss : 0.5292 | Test Accuracy : 83.68%
Epoch 26 | Train Loss : 0.3080 | Train Accuracy : 89.20% | Test Loss : 0.5659 | Test Accuracy : 82.40%
Epoch 27 | Train Loss : 0.3063 | Train Accuracy : 89.26% | Test Loss : 0.5105 | Test Accuracy : 84.97%
Epoch 28 | Train Loss : 0.2988 | Train Accuracy : 89.49% | Test Loss : 0.5247 | Test Accuracy : 82.92%
Epoch 29 | Train Loss : 0.2938 | Train Accuracy : 89.75% | Test Loss : 0.4923 | Test Accuracy : 84.49%
Epoch 30 | Train Loss : 0.2850 | Train Accuracy : 89.98% | Test Loss : 0.5436 | Test Accuracy : 83.20%
Epoch 31 | Train Loss : 0.2858 | Train Accuracy : 90.00% | Test Loss : 0.4363 | Test Accuracy : 85.85%
Epoch 32 | Train Loss : 0.2810 | Train Accuracy : 90.26% | Test Loss : 0.4789 | Test Accuracy : 84.46%
Epoch 33 | Train Loss : 0.2738 | Train Accuracy : 90.59% | Test Loss : 0.5238 | Test Accuracy : 83.93%
Epoch 34 | Train Loss : 0.2757 | Train Accuracy : 90.34% | Test Loss : 0.4081 | Test Accuracy : 86.38%
Epoch 35 | Train Loss : 0.2685 | Train Accuracy : 90.55% | Test Loss : 0.4903 | Test Accuracy : 84.81%
Epoch 36 | Train Loss : 0.2670 | Train Accuracy : 90.73% | Test Loss : 0.4554 | Test Accuracy : 85.59%
Epoch 37 | Train Loss : 0.2649 | Train Accuracy : 90.61% | Test Loss : 0.4513 | Test Accuracy : 85.69%
Epoch 38 | Train Loss : 0.2609 | Train Accuracy : 91.05% | Test Loss : 0.4922 | Test Accuracy : 85.15%
Epoch 39 | Train Loss : 0.2543 | Train Accuracy : 91.09% | Test Loss : 0.5327 | Test Accuracy : 83.86%
Epoch 40 | Train Loss : 0.2513 | Train Accuracy : 91.15% | Test Loss : 0.4615 | Test Accuracy : 86.24%
Epoch 41 | Train Loss : 0.2487 | Train Accuracy : 91.25% | Test Loss : 0.4807 | Test Accuracy : 85.16%
Epoch 42 | Train Loss : 0.2491 | Train Accuracy : 91.29% | Test Loss : 0.4158 | Test Accuracy : 86.71%
Epoch 43 | Train Loss : 0.2419 | Train Accuracy : 91.54% | Test Loss : 0.5279 | Test Accuracy : 83.68%
Epoch 44 | Train Loss : 0.2443 | Train Accuracy : 91.44% | Test Loss : 0.4325 | Test Accuracy : 86.72%
Epoch 45 | Train Loss : 0.2421 | Train Accuracy : 91.40% | Test Loss : 0.4586 | Test Accuracy : 85.82%
Epoch 46 | Train Loss : 0.2382 | Train Accuracy : 91.67% | Test Loss : 0.4163 | Test Accuracy : 86.95%
Epoch 47 | Train Loss : 0.2367 | Train Accuracy : 91.76% | Test Loss : 0.4231 | Test Accuracy : 87.33%
Epoch 48 | Train Loss : 0.2399 | Train Accuracy : 91.69% | Test Loss : 0.4687 | Test Accuracy : 85.19%
Epoch 49 | Train Loss : 0.2292 | Train Accuracy : 91.87% | Test Loss : 0.4650 | Test Accuracy : 85.43%
Epoch 50 | Train Loss : 0.2318 | Train Accuracy : 91.96% | Test Loss : 0.4354 | Test Accuracy : 86.69%
Epoch 51 | Train Loss : 0.2340 | Train Accuracy : 91.88% | Test Loss : 0.5135 | Test Accuracy : 84.61%
Epoch 52 | Train Loss : 0.2301 | Train Accuracy : 91.91% | Test Loss : 0.4121 | Test Accuracy : 87.10%
Epoch 53 | Train Loss : 0.2292 | Train Accuracy : 92.06% | Test Loss : 0.4404 | Test Accuracy : 86.61%
Epoch 54 | Train Loss : 0.2264 | Train Accuracy : 91.97% | Test Loss : 0.4960 | Test Accuracy : 85.00%
Epoch 55 | Train Loss : 0.2259 | Train Accuracy : 92.04% | Test Loss : 0.5233 | Test Accuracy : 84.19%
Epoch 56 | Train Loss : 0.2238 | Train Accuracy : 92.08% | Test Loss : 0.4166 | Test Accuracy : 86.81%
Epoch 57 | Train Loss : 0.2218 | Train Accuracy : 92.22% | Test Loss : 0.4163 | Test Accuracy : 86.89%
Epoch 58 | Train Loss : 0.2188 | Train Accuracy : 92.31% | Test Loss : 0.4327 | Test Accuracy : 86.76%
Epoch 59 | Train Loss : 0.2247 | Train Accuracy : 92.27% | Test Loss : 0.4134 | Test Accuracy : 87.22%
Epoch 60 | Train Loss : 0.2210 | Train Accuracy : 92.17% | Test Loss : 0.4066 | Test Accuracy : 87.52%
Epoch 61 | Train Loss : 0.2166 | Train Accuracy : 92.40% | Test Loss : 0.5228 | Test Accuracy : 85.25%
Epoch 62 | Train Loss : 0.2201 | Train Accuracy : 92.34% | Test Loss : 0.4856 | Test Accuracy : 85.49%
