Epoch 0 | Train Loss : 2.3948 | Train Acc : 11.97% | Test Loss : 2.2462 | Test Acc : 13.75%
Epoch 1 | Train Loss : 1.8954 | Train Acc : 27.62% | Test Loss : 1.5706 | Test Acc : 41.42%
Epoch 2 | Train Loss : 1.4458 | Train Acc : 46.62% | Test Loss : 1.2981 | Test Acc : 53.10%
Epoch 3 | Train Loss : 1.1527 | Train Acc : 58.48% | Test Loss : 1.0656 | Test Acc : 62.59%
Epoch 4 | Train Loss : 0.9531 | Train Acc : 66.02% | Test Loss : 1.0275 | Test Acc : 64.93%
Epoch 5 | Train Loss : 0.8215 | Train Acc : 71.24% | Test Loss : 1.0018 | Test Acc : 66.40%
Epoch 6 | Train Loss : 0.7410 | Train Acc : 74.05% | Test Loss : 0.8474 | Test Acc : 71.74%
Epoch 7 | Train Loss : 0.6697 | Train Acc : 76.56% | Test Loss : 0.8298 | Test Acc : 72.67%
Epoch 8 | Train Loss : 0.6205 | Train Acc : 78.57% | Test Loss : 0.7128 | Test Acc : 76.40%
Epoch 9 | Train Loss : 0.5807 | Train Acc : 79.98% | Test Loss : 0.7612 | Test Acc : 74.39%
Epoch 10 | Train Loss : 0.5454 | Train Acc : 80.99% | Test Loss : 0.6646 | Test Acc : 77.24%
Epoch 11 | Train Loss : 0.5150 | Train Acc : 82.22% | Test Loss : 0.6234 | Test Acc : 79.16%
Epoch 12 | Train Loss : 0.4868 | Train Acc : 82.97% | Test Loss : 0.5816 | Test Acc : 80.43%
Epoch 13 | Train Loss : 0.4718 | Train Acc : 83.67% | Test Loss : 0.5444 | Test Acc : 82.18%
Epoch 14 | Train Loss : 0.4456 | Train Acc : 84.61% | Test Loss : 0.5132 | Test Acc : 82.41%
Epoch 15 | Train Loss : 0.4329 | Train Acc : 85.09% | Test Loss : 0.5753 | Test Acc : 81.38%
Epoch 16 | Train Loss : 0.4181 | Train Acc : 85.50% | Test Loss : 0.6399 | Test Acc : 79.26%
Epoch 17 | Train Loss : 0.4064 | Train Acc : 85.99% | Test Loss : 0.5420 | Test Acc : 82.13%
Epoch 18 | Train Loss : 0.3907 | Train Acc : 86.62% | Test Loss : 0.6286 | Test Acc : 80.42%
Epoch 19 | Train Loss : 0.3853 | Train Acc : 86.50% | Test Loss : 0.5687 | Test Acc : 81.54%
Epoch 20 | Train Loss : 0.3725 | Train Acc : 87.14% | Test Loss : 0.5029 | Test Acc : 82.81%
Epoch 21 | Train Loss : 0.3642 | Train Acc : 87.45% | Test Loss : 0.5821 | Test Acc : 80.77%
Epoch 22 | Train Loss : 0.3559 | Train Acc : 87.63% | Test Loss : 0.4931 | Test Acc : 83.67%
Epoch 23 | Train Loss : 0.3407 | Train Acc : 88.23% | Test Loss : 0.5827 | Test Acc : 81.25%
Epoch 24 | Train Loss : 0.3359 | Train Acc : 88.21% | Test Loss : 0.5347 | Test Acc : 82.89%
Epoch 25 | Train Loss : 0.3353 | Train Acc : 88.34% | Test Loss : 0.6621 | Test Acc : 79.49%
Epoch 26 | Train Loss : 0.3266 | Train Acc : 88.60% | Test Loss : 0.4677 | Test Acc : 84.55%
Epoch 27 | Train Loss : 0.3219 | Train Acc : 88.79% | Test Loss : 0.5827 | Test Acc : 81.41%
Epoch 28 | Train Loss : 0.3130 | Train Acc : 89.19% | Test Loss : 0.5787 | Test Acc : 81.81%
Epoch 29 | Train Loss : 0.3043 | Train Acc : 89.39% | Test Loss : 0.4968 | Test Acc : 84.39%
Epoch 30 | Train Loss : 0.3068 | Train Acc : 89.33% | Test Loss : 0.5268 | Test Acc : 83.60%
Epoch 31 | Train Loss : 0.3008 | Train Acc : 89.55% | Test Loss : 0.4895 | Test Acc : 84.04%
Epoch 32 | Train Loss : 0.2930 | Train Acc : 89.82% | Test Loss : 0.4907 | Test Acc : 84.06%
Epoch 33 | Train Loss : 0.2846 | Train Acc : 90.11% | Test Loss : 0.5325 | Test Acc : 82.91%
Epoch 34 | Train Loss : 0.2826 | Train Acc : 90.26% | Test Loss : 0.6361 | Test Acc : 80.19%
Epoch 35 | Train Loss : 0.2804 | Train Acc : 90.15% | Test Loss : 0.5691 | Test Acc : 82.39%
Epoch 36 | Train Loss : 0.2743 | Train Acc : 90.35% | Test Loss : 0.4333 | Test Acc : 85.82%
Epoch 37 | Train Loss : 0.2713 | Train Acc : 90.48% | Test Loss : 0.5477 | Test Acc : 83.44%
Epoch 38 | Train Loss : 0.2759 | Train Acc : 90.37% | Test Loss : 0.4674 | Test Acc : 85.08%
Epoch 39 | Train Loss : 0.2653 | Train Acc : 90.82% | Test Loss : 0.4548 | Test Acc : 84.97%
Epoch 40 | Train Loss : 0.2613 | Train Acc : 90.74% | Test Loss : 0.5427 | Test Acc : 83.93%
Epoch 41 | Train Loss : 0.2586 | Train Acc : 90.95% | Test Loss : 0.4929 | Test Acc : 85.30%
Epoch 42 | Train Loss : 0.2545 | Train Acc : 91.10% | Test Loss : 0.4465 | Test Acc : 85.79%
Epoch 43 | Train Loss : 0.2574 | Train Acc : 90.99% | Test Loss : 0.5499 | Test Acc : 82.70%
Epoch 44 | Train Loss : 0.2532 | Train Acc : 90.97% | Test Loss : 0.5777 | Test Acc : 83.21%
Epoch 45 | Train Loss : 0.2531 | Train Acc : 91.11% | Test Loss : 0.4703 | Test Acc : 85.37%
Epoch 46 | Train Loss : 0.2434 | Train Acc : 91.45% | Test Loss : 0.4233 | Test Acc : 86.22%
Epoch 47 | Train Loss : 0.2454 | Train Acc : 91.38% | Test Loss : 0.4385 | Test Acc : 85.63%
Epoch 48 | Train Loss : 0.2443 | Train Acc : 91.42% | Test Loss : 0.4472 | Test Acc : 85.89%
Epoch 49 | Train Loss : 0.2404 | Train Acc : 91.70% | Test Loss : 0.4105 | Test Acc : 86.85%
Epoch 50 | Train Loss : 0.2355 | Train Acc : 91.73% | Test Loss : 0.5856 | Test Acc : 83.64%
Epoch 51 | Train Loss : 0.2361 | Train Acc : 91.77% | Test Loss : 0.4764 | Test Acc : 85.17%
Epoch 52 | Train Loss : 0.2356 | Train Acc : 91.66% | Test Loss : 0.4329 | Test Acc : 86.28%
Epoch 53 | Train Loss : 0.2304 | Train Acc : 91.85% | Test Loss : 0.4168 | Test Acc : 86.93%
Epoch 54 | Train Loss : 0.2331 | Train Acc : 91.74% | Test Loss : 0.4153 | Test Acc : 86.61%
Epoch 55 | Train Loss : 0.2244 | Train Acc : 92.16% | Test Loss : 0.5117 | Test Acc : 85.08%
Epoch 56 | Train Loss : 0.2266 | Train Acc : 91.95% | Test Loss : 0.4725 | Test Acc : 85.38%
Epoch 57 | Train Loss : 0.2304 | Train Acc : 91.92% | Test Loss : 0.5159 | Test Acc : 84.96%
Epoch 58 | Train Loss : 0.2249 | Train Acc : 92.07% | Test Loss : 0.5296 | Test Acc : 83.92%
Epoch 59 | Train Loss : 0.2264 | Train Acc : 92.08% | Test Loss : 0.4586 | Test Acc : 85.76%
Epoch 60 | Train Loss : 0.2193 | Train Acc : 92.33% | Test Loss : 0.3995 | Test Acc : 87.42%
Epoch 61 | Train Loss : 0.2285 | Train Acc : 91.92% | Test Loss : 0.5067 | Test Acc : 84.73%
Epoch 62 | Train Loss : 0.2160 | Train Acc : 92.43% | Test Loss : 0.4035 | Test Acc : 87.13%
Epoch 63 | Train Loss : 0.2157 | Train Acc : 92.49% | Test Loss : 0.5370 | Test Acc : 84.47%
Epoch 64 | Train Loss : 0.2192 | Train Acc : 92.26% | Test Loss : 0.5142 | Test Acc : 85.07%
Epoch 65 | Train Loss : 0.2173 | Train Acc : 92.35% | Test Loss : 0.4945 | Test Acc : 85.07%
Epoch 66 | Train Loss : 0.2144 | Train Acc : 92.53% | Test Loss : 0.4521 | Test Acc : 85.60%
Epoch 67 | Train Loss : 0.2093 | Train Acc : 92.61% | Test Loss : 0.4566 | Test Acc : 86.08%
Epoch 68 | Train Loss : 0.2123 | Train Acc : 92.54% | Test Loss : 0.4095 | Test Acc : 87.07%
Epoch 69 | Train Loss : 0.2122 | Train Acc : 92.58% | Test Loss : 0.4273 | Test Acc : 86.12%
Epoch 70 | Train Loss : 0.2142 | Train Acc : 92.41% | Test Loss : 0.4847 | Test Acc : 86.04%
Epoch 71 | Train Loss : 0.2133 | Train Acc : 92.56% | Test Loss : 0.4831 | Test Acc : 85.49%
Epoch 72 | Train Loss : 0.2041 | Train Acc : 92.82% | Test Loss : 0.4237 | Test Acc : 87.14%
Epoch 73 | Train Loss : 0.2050 | Train Acc : 92.76% | Test Loss : 0.4937 | Test Acc : 85.66%
Epoch 74 | Train Loss : 0.2092 | Train Acc : 92.61% | Test Loss : 0.4595 | Test Acc : 86.33%
Epoch 75 | Train Loss : 0.2034 | Train Acc : 92.78% | Test Loss : 0.4172 | Test Acc : 87.67%
Epoch 76 | Train Loss : 0.2085 | Train Acc : 92.67% | Test Loss : 0.5564 | Test Acc : 84.11%
Epoch 77 | Train Loss : 0.2045 | Train Acc : 92.75% | Test Loss : 0.3722 | Test Acc : 88.64%
Epoch 78 | Train Loss : 0.2012 | Train Acc : 92.89% | Test Loss : 0.4861 | Test Acc : 85.51%
Epoch 79 | Train Loss : 0.2047 | Train Acc : 92.80% | Test Loss : 0.6105 | Test Acc : 82.56%
Epoch 80 | Train Loss : 0.1983 | Train Acc : 93.05% | Test Loss : 0.5319 | Test Acc : 84.90%
Epoch 81 | Train Loss : 0.2088 | Train Acc : 92.74% | Test Loss : 0.4287 | Test Acc : 87.01%
Epoch 82 | Train Loss : 0.1212 | Train Acc : 96.03% | Test Loss : 0.2802 | Test Acc : 91.21%
Epoch 83 | Train Loss : 0.0925 | Train Acc : 96.99% | Test Loss : 0.2787 | Test Acc : 91.37%
Epoch 84 | Train Loss : 0.0843 | Train Acc : 97.20% | Test Loss : 0.2768 | Test Acc : 91.74%
