Epoch 0 | Train Loss : 2.0882 | Train Accuracy : 25.86% | Test Loss : 1.6983 | Test Accuracy : 37.64%
Epoch 1 | Train Loss : 1.4582 | Train Accuracy : 46.22% | Test Loss : 1.5650 | Test Accuracy : 46.03%
Epoch 2 | Train Loss : 1.1702 | Train Accuracy : 57.95% | Test Loss : 1.2200 | Test Accuracy : 58.42%
Epoch 3 | Train Loss : 0.9474 | Train Accuracy : 66.47% | Test Loss : 1.0116 | Test Accuracy : 65.85%
Epoch 4 | Train Loss : 0.8031 | Train Accuracy : 71.82% | Test Loss : 1.0735 | Test Accuracy : 65.51%
Epoch 5 | Train Loss : 0.7113 | Train Accuracy : 75.16% | Test Loss : 0.9365 | Test Accuracy : 70.03%
Epoch 6 | Train Loss : 0.6448 | Train Accuracy : 77.64% | Test Loss : 0.7370 | Test Accuracy : 75.65%
Epoch 7 | Train Loss : 0.5895 | Train Accuracy : 79.57% | Test Loss : 0.7068 | Test Accuracy : 76.21%
Epoch 8 | Train Loss : 0.5549 | Train Accuracy : 80.79% | Test Loss : 0.6400 | Test Accuracy : 78.37%
Epoch 9 | Train Loss : 0.5230 | Train Accuracy : 81.83% | Test Loss : 0.6986 | Test Accuracy : 75.98%
Epoch 10 | Train Loss : 0.4925 | Train Accuracy : 83.09% | Test Loss : 0.6517 | Test Accuracy : 78.71%
Epoch 11 | Train Loss : 0.4670 | Train Accuracy : 83.93% | Test Loss : 0.5354 | Test Accuracy : 82.16%
Epoch 12 | Train Loss : 0.4464 | Train Accuracy : 84.67% | Test Loss : 0.5580 | Test Accuracy : 80.67%
Epoch 13 | Train Loss : 0.4302 | Train Accuracy : 85.22% | Test Loss : 0.6222 | Test Accuracy : 79.66%
Epoch 14 | Train Loss : 0.4132 | Train Accuracy : 85.63% | Test Loss : 0.5076 | Test Accuracy : 82.86%
Epoch 15 | Train Loss : 0.3986 | Train Accuracy : 86.15% | Test Loss : 0.5508 | Test Accuracy : 81.16%
Epoch 16 | Train Loss : 0.3816 | Train Accuracy : 86.91% | Test Loss : 0.5759 | Test Accuracy : 81.43%
Epoch 17 | Train Loss : 0.3788 | Train Accuracy : 86.82% | Test Loss : 0.4774 | Test Accuracy : 84.49%
Epoch 18 | Train Loss : 0.3607 | Train Accuracy : 87.42% | Test Loss : 0.6220 | Test Accuracy : 80.66%
Epoch 19 | Train Loss : 0.3538 | Train Accuracy : 87.76% | Test Loss : 0.5123 | Test Accuracy : 84.00%
Epoch 20 | Train Loss : 0.3430 | Train Accuracy : 88.10% | Test Loss : 0.5662 | Test Accuracy : 82.62%
Epoch 21 | Train Loss : 0.3369 | Train Accuracy : 88.38% | Test Loss : 0.5644 | Test Accuracy : 82.22%
Epoch 22 | Train Loss : 0.3331 | Train Accuracy : 88.24% | Test Loss : 0.5705 | Test Accuracy : 82.42%
Epoch 23 | Train Loss : 0.3268 | Train Accuracy : 88.77% | Test Loss : 0.5159 | Test Accuracy : 82.91%
Epoch 24 | Train Loss : 0.3143 | Train Accuracy : 89.05% | Test Loss : 0.4618 | Test Accuracy : 85.17%
Epoch 25 | Train Loss : 0.3074 | Train Accuracy : 89.22% | Test Loss : 0.6279 | Test Accuracy : 81.08%
Epoch 26 | Train Loss : 0.3044 | Train Accuracy : 89.41% | Test Loss : 0.5298 | Test Accuracy : 83.86%
Epoch 27 | Train Loss : 0.2993 | Train Accuracy : 89.48% | Test Loss : 0.4484 | Test Accuracy : 85.74%
Epoch 28 | Train Loss : 0.2952 | Train Accuracy : 89.65% | Test Loss : 0.4833 | Test Accuracy : 84.89%
Epoch 29 | Train Loss : 0.2922 | Train Accuracy : 89.74% | Test Loss : 0.4748 | Test Accuracy : 84.96%
Epoch 30 | Train Loss : 0.2831 | Train Accuracy : 90.10% | Test Loss : 0.5271 | Test Accuracy : 83.33%
Epoch 31 | Train Loss : 0.2806 | Train Accuracy : 90.07% | Test Loss : 0.4360 | Test Accuracy : 85.99%
Epoch 32 | Train Loss : 0.2824 | Train Accuracy : 90.05% | Test Loss : 0.5716 | Test Accuracy : 83.03%
Epoch 33 | Train Loss : 0.2693 | Train Accuracy : 90.54% | Test Loss : 0.4534 | Test Accuracy : 85.51%
Epoch 34 | Train Loss : 0.2749 | Train Accuracy : 90.52% | Test Loss : 0.4323 | Test Accuracy : 86.50%
Epoch 35 | Train Loss : 0.2663 | Train Accuracy : 90.64% | Test Loss : 0.5496 | Test Accuracy : 83.33%
Epoch 36 | Train Loss : 0.2646 | Train Accuracy : 90.78% | Test Loss : 0.4259 | Test Accuracy : 86.57%
Epoch 37 | Train Loss : 0.2628 | Train Accuracy : 90.77% | Test Loss : 0.4358 | Test Accuracy : 86.07%
Epoch 38 | Train Loss : 0.2605 | Train Accuracy : 90.90% | Test Loss : 0.4201 | Test Accuracy : 86.71%
Epoch 39 | Train Loss : 0.2594 | Train Accuracy : 90.81% | Test Loss : 0.4164 | Test Accuracy : 86.47%
Epoch 40 | Train Loss : 0.2462 | Train Accuracy : 91.40% | Test Loss : 0.4224 | Test Accuracy : 86.45%
Epoch 41 | Train Loss : 0.2514 | Train Accuracy : 91.14% | Test Loss : 0.4565 | Test Accuracy : 85.35%
Epoch 42 | Train Loss : 0.2462 | Train Accuracy : 91.36% | Test Loss : 0.4981 | Test Accuracy : 85.13%
Epoch 43 | Train Loss : 0.2443 | Train Accuracy : 91.41% | Test Loss : 0.4597 | Test Accuracy : 85.60%
Epoch 44 | Train Loss : 0.2428 | Train Accuracy : 91.52% | Test Loss : 0.4722 | Test Accuracy : 85.55%
Epoch 45 | Train Loss : 0.2437 | Train Accuracy : 91.30% | Test Loss : 0.5640 | Test Accuracy : 83.99%
Epoch 46 | Train Loss : 0.2410 | Train Accuracy : 91.66% | Test Loss : 0.4431 | Test Accuracy : 86.11%
Epoch 47 | Train Loss : 0.2374 | Train Accuracy : 91.67% | Test Loss : 0.4744 | Test Accuracy : 85.62%
Epoch 48 | Train Loss : 0.2327 | Train Accuracy : 91.92% | Test Loss : 0.4453 | Test Accuracy : 86.53%
Epoch 49 | Train Loss : 0.2382 | Train Accuracy : 91.64% | Test Loss : 0.4619 | Test Accuracy : 86.26%
Epoch 50 | Train Loss : 0.2334 | Train Accuracy : 91.96% | Test Loss : 0.4748 | Test Accuracy : 85.75%
Epoch 51 | Train Loss : 0.2338 | Train Accuracy : 91.80% | Test Loss : 0.4455 | Test Accuracy : 86.12%
Epoch 52 | Train Loss : 0.2284 | Train Accuracy : 92.01% | Test Loss : 0.4305 | Test Accuracy : 86.73%
Epoch 53 | Train Loss : 0.2278 | Train Accuracy : 92.10% | Test Loss : 0.4563 | Test Accuracy : 86.10%
Epoch 54 | Train Loss : 0.2236 | Train Accuracy : 92.15% | Test Loss : 0.5005 | Test Accuracy : 84.33%
Epoch 55 | Train Loss : 0.2220 | Train Accuracy : 92.25% | Test Loss : 0.4773 | Test Accuracy : 85.59%
Epoch 56 | Train Loss : 0.2217 | Train Accuracy : 92.18% | Test Loss : 0.4529 | Test Accuracy : 85.94%
Epoch 57 | Train Loss : 0.2234 | Train Accuracy : 92.17% | Test Loss : 0.5195 | Test Accuracy : 84.33%
Epoch 58 | Train Loss : 0.2290 | Train Accuracy : 91.97% | Test Loss : 0.4483 | Test Accuracy : 86.36%
Epoch 59 | Train Loss : 0.2201 | Train Accuracy : 92.19% | Test Loss : 0.4622 | Test Accuracy : 85.76%
Epoch 60 | Train Loss : 0.2168 | Train Accuracy : 92.42% | Test Loss : 0.4468 | Test Accuracy : 86.72%
Epoch 61 | Train Loss : 0.2204 | Train Accuracy : 92.29% | Test Loss : 0.4498 | Test Accuracy : 85.93%
Epoch 62 | Train Loss : 0.2171 | Train Accuracy : 92.31% | Test Loss : 0.4922 | Test Accuracy : 84.95%
Epoch 63 | Train Loss : 0.2156 | Train Accuracy : 92.39% | Test Loss : 0.3713 | Test Accuracy : 88.34%
Epoch 64 | Train Loss : 0.2139 | Train Accuracy : 92.46% | Test Loss : 0.4652 | Test Accuracy : 85.39%
Epoch 65 | Train Loss : 0.2134 | Train Accuracy : 92.54% | Test Loss : 0.4372 | Test Accuracy : 86.56%
Epoch 66 | Train Loss : 0.2119 | Train Accuracy : 92.61% | Test Loss : 0.3978 | Test Accuracy : 87.80%
Epoch 67 | Train Loss : 0.2135 | Train Accuracy : 92.52% | Test Loss : 0.4370 | Test Accuracy : 87.24%
Epoch 68 | Train Loss : 0.2067 | Train Accuracy : 92.73% | Test Loss : 0.5113 | Test Accuracy : 85.06%
Epoch 69 | Train Loss : 0.2062 | Train Accuracy : 92.75% | Test Loss : 0.5710 | Test Accuracy : 84.03%
Epoch 70 | Train Loss : 0.2035 | Train Accuracy : 92.82% | Test Loss : 0.4790 | Test Accuracy : 85.59%
Epoch 71 | Train Loss : 0.2113 | Train Accuracy : 92.51% | Test Loss : 0.4743 | Test Accuracy : 86.12%
Epoch 72 | Train Loss : 0.2099 | Train Accuracy : 92.68% | Test Loss : 0.4854 | Test Accuracy : 85.73%
Epoch 73 | Train Loss : 0.2059 | Train Accuracy : 92.71% | Test Loss : 0.4851 | Test Accuracy : 85.56%
Epoch 74 | Train Loss : 0.2030 | Train Accuracy : 92.82% | Test Loss : 0.4772 | Test Accuracy : 85.49%
Epoch 75 | Train Loss : 0.1988 | Train Accuracy : 93.03% | Test Loss : 0.4881 | Test Accuracy : 85.95%
Epoch 76 | Train Loss : 0.2025 | Train Accuracy : 92.86% | Test Loss : 0.4033 | Test Accuracy : 87.38%
Epoch 77 | Train Loss : 0.2039 | Train Accuracy : 92.80% | Test Loss : 0.4200 | Test Accuracy : 86.77%
Epoch 78 | Train Loss : 0.1987 | Train Accuracy : 92.95% | Test Loss : 0.4783 | Test Accuracy : 85.34%
Epoch 79 | Train Loss : 0.2003 | Train Accuracy : 92.85% | Test Loss : 0.5633 | Test Accuracy : 83.63%
